Account length,Area code,International plan,Voice mail plan,Number vmail messages,Total day minutes,Total day calls,Total day charge,Total eve minutes,Total eve calls,Total eve charge,Total night minutes,Total night calls,Total night charge,Total intl minutes,Total intl calls,Total intl charge,Customer service calls,Churn,State_AL,State_AR,State_AZ,State_CA,State_CO,State_CT,State_DC,State_DE,State_FL,State_GA,State_HI,State_IA,State_ID,State_IL,State_IN,State_KS,State_KY,State_LA,State_MA,State_MD,State_ME,State_MI,State_MN,State_MO,State_MS,State_MT,State_NC,State_ND,State_NE,State_NH,State_NJ,State_NM,State_NV,State_NY,State_OH,State_OK,State_OR,State_PA,State_RI,State_SC,State_SD,State_TN,State_TX,State_UT,State_VA,State_VT,State_WA,State_WI,State_WV,State_WY
0.712607335,415,0,1,1.24051386,1.684777521,0.485985291,1.641055498,-0.0657228,-0.051388311,-0.065543723,0.891682595,-0.466427199,0.890964651,-0.087298993,-0.594841643,-0.087967778,-0.432980172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.165442648,415,0,1,1.313805663,-0.356747679,1.143726296,-0.348314763,-0.104005433,0.14728001,-0.103470873,1.089921984,0.152167457,1.090793003,1.238732138,-0.594841643,1.239471619,-0.432980172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.947106487,415,0,0,-0.591781216,1.2567476,0.688367139,1.223965938,-1.601057874,0.494949571,-1.601593298,-0.786199242,0.203717012,-0.784868576,0.70115195,0.221219501,0.695221466,-1.19377145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.433832962,408,1,0,-0.591781216,2.361340945,-1.487237727,2.300034397,-2.795879,-0.597726194,-2.796298523,-0.085208414,-0.569526308,-0.085469343,-1.305814086,1.037280646,-1.309212024,0.327811105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.668332114,415,1,0,-0.591781216,-0.256150785,0.637771677,-0.249976574,-1.055026634,1.090954535,-1.05402007,-0.289578918,1.080059441,-0.289839249,-0.051460314,-0.594841643,-0.048144596,1.088602382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.452052722,510,1,0,-0.591781216,0.862249977,-0.121160253,0.839655773,0.401728298,0.047945849,0.401434311,0.057850939,0.925410777,0.059860368,-1.413330123,0.629250074,-1.415407176,-1.19377145,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.2076611,415,0,0,-0.591781216,-0.447482133,-1.082474031,-0.436480036,-1.965750326,-0.299723713,-1.966642117,0.219303637,-0.208679425,0.218814739,-1.12662069,0.629250074,-1.123370509,-1.19377145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.051328332,415,1,1,2.120015497,1.556565794,-0.829496721,1.515589533,0.429936554,0.544616652,0.429879674,2.561389612,-0.157129871,2.562256325,0.342765158,0.221219501,0.336812829,-1.19377145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
-0.694387575,415,0,0,-0.591781216,0.158071719,1.346108144,0.153549098,-0.750780445,2.382298621,-0.75060287,-0.103601759,-0.311778535,-0.103635557,-0.409847106,0.221219501,-0.406553234,-1.19377145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
-0.016945581,408,0,0,-0.591781216,-1.003723782,-0.222351177,-0.977905238,-1.929482568,-1.442066559,-1.928714967,-1.225595826,1.440906323,-1.225399262,0.342765158,-1.002872215,0.336812829,-0.432980172,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.147222888,510,0,0,-0.591781216,-0.455372085,-0.627114873,-0.444392304,0.945744663,-1.243398238,0.946637092,-0.179218846,0.770762113,-0.180841966,0.736990629,0.221219501,0.735044648,1.088602382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1.007053111,415,0,0,-0.591781216,-1.163495319,-1.537833189,-1.133889951,2.146610416,-1.193731157,2.146083211,0.039457594,-0.054030762,0.041694154,1.023700062,0.629250074,1.027081316,1.849393659,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.407777501,408,0,1,1.387097466,0.329678185,1.953253688,0.320837052,1.616698179,-0.498392034,1.617473558,-2.284235036,-1.291220073,-2.283581218,1.274570817,-0.186811071,1.279294801,-0.432980172,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.19933381,510,0,0,-0.591781216,0.217246363,0.688367139,0.211195623,0.353371288,0.544616652,0.354025374,-1.460621905,1.080059441,-1.461560042,-0.768233898,-0.594841643,-0.764961871,1.088602382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
-0.642276652,510,0,1,1.826848285,0.197521481,-1.740215037,0.191980115,0.244568015,-1.74006904,0.244984817,-0.722844386,0.40991523,-0.721286828,-0.087298993,0.221219501,-0.087967778,-0.432980172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
-0.720443036,415,0,0,-0.591781216,0.004217646,-0.525923949,0.858871282,-0.829360586,-0.597726194,-0.828827617,-0.16900032,-1.342769628,-0.167217305,0.987861383,-1.002872215,0.987258134,-0.432980172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1.2076611,415,0,0,-0.591781216,-0.484959407,0.840153524,-0.472650404,0.786569504,-0.349390793,0.785446705,0.157992486,1.698654096,0.159774544,0.127733082,-0.186811071,0.124422525,-1.19377145,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.616221191,408,0,0,-0.591781216,-2.313455891,-0.576519411,-2.254041047,-0.619813542,1.041287454,-0.620228292,0.174342126,-1.858265174,0.173399204,-1.628362199,0.629250074,-1.62779748,2.610184936,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.764718258,415,0,0,-0.591781216,0.004217646,0.587176215,0.063123177,-2.574242704,-0.051388311,-2.573476517,-0.393807875,-1.136571409,-0.394294978,-0.266492389,5.93364751,-0.2605349,-1.19377145,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
